s3,http,run
s3://sra-pub-src-13/SRR12570819/Sangue_38_S5_L003_R1_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570819/Sangue_38_S5_L003_R1_001.fastq.gz.1,SRR12570819
s3://sra-pub-src-13/SRR12570819/Sangue_38_S5_L003_R2_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570819/Sangue_38_S5_L003_R2_001.fastq.gz.1,SRR12570819
s3://sra-pub-src-9/SRR12570820/Sangue_38_S5_L004_R1_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570820/Sangue_38_S5_L004_R1_001.fastq.gz.1,SRR12570820
s3://sra-pub-src-9/SRR12570820/Sangue_38_S5_L004_R2_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570820/Sangue_38_S5_L004_R2_001.fastq.gz.1,SRR12570820
s3://sra-pub-src-13/SRR12570821/Sangue_38_S6_L001_R1_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570821/Sangue_38_S6_L001_R1_001.fastq.gz.1,SRR12570821
s3://sra-pub-src-13/SRR12570821/Sangue_38_S6_L001_R2_001.fastq.gz.1,https://sra-pub-src-13.s3.amazonaws.com/SRR12570821/Sangue_38_S6_L001_R2_001.fastq.gz.1,SRR12570821
s3://sra-pub-src-12/SRR12570822/Sangue_38_S6_L002_R1_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570822/Sangue_38_S6_L002_R1_001.fastq.gz.1,SRR12570822
s3://sra-pub-src-12/SRR12570822/Sangue_38_S6_L002_R2_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570822/Sangue_38_S6_L002_R2_001.fastq.gz.1,SRR12570822
s3://sra-pub-src-9/SRR12570823/Sangue_38_S6_L003_R1_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570823/Sangue_38_S6_L003_R1_001.fastq.gz.1,SRR12570823
s3://sra-pub-src-9/SRR12570823/Sangue_38_S6_L003_R2_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570823/Sangue_38_S6_L003_R2_001.fastq.gz.1,SRR12570823
s3://sra-pub-src-9/SRR12570824/Sangue_38_S6_L004_R1_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570824/Sangue_38_S6_L004_R1_001.fastq.gz.1,SRR12570824
s3://sra-pub-src-9/SRR12570824/Sangue_38_S6_L004_R2_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570824/Sangue_38_S6_L004_R2_001.fastq.gz.1,SRR12570824
s3://sra-pub-src-10/SRR12570825/Sangue_38_S7_L001_R1_001.fastq.gz.1,https://sra-pub-src-10.s3.amazonaws.com/SRR12570825/Sangue_38_S7_L001_R1_001.fastq.gz.1,SRR12570825
s3://sra-pub-src-10/SRR12570825/Sangue_38_S7_L001_R2_001.fastq.gz.1,https://sra-pub-src-10.s3.amazonaws.com/SRR12570825/Sangue_38_S7_L001_R2_001.fastq.gz.1,SRR12570825
s3://sra-pub-src-10/SRR12570826/Sangue_39_S1_L001_R1_001.fastq.gz.1,https://sra-pub-src-10.s3.amazonaws.com/SRR12570826/Sangue_39_S1_L001_R1_001.fastq.gz.1,SRR12570826
s3://sra-pub-src-10/SRR12570826/Sangue_39_S1_L001_R2_001.fastq.gz.1,https://sra-pub-src-10.s3.amazonaws.com/SRR12570826/Sangue_39_S1_L001_R2_001.fastq.gz.1,SRR12570826
s3://sra-pub-src-9/SRR12570827/Sangue_39_S3_L002_R1_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570827/Sangue_39_S3_L002_R1_001.fastq.gz.1,SRR12570827
s3://sra-pub-src-9/SRR12570827/Sangue_39_S3_L002_R2_001.fastq.gz.1,https://sra-pub-src-9.s3.amazonaws.com/SRR12570827/Sangue_39_S3_L002_R2_001.fastq.gz.1,SRR12570827
s3://sra-pub-src-10/SRR12570828/Sangue_39_S3_L003_R1_001.fastq.gz.1,https://sra-pub-src-10.s3.amazonaws.com/SRR12570828/Sangue_39_S3_L003_R1_001.fastq.gz.1,SRR12570828
s3://sra-pub-src-10/SRR12570828/Sangue_39_S3_L003_R2_001.fastq.gz.1,https://sra-pub-src-10.s3.amazonaws.com/SRR12570828/Sangue_39_S3_L003_R2_001.fastq.gz.1,SRR12570828
s3://sra-pub-src-11/SRR12570829/Sangue_39_S3_L004_R1_001.fastq.gz.1,https://sra-pub-src-11.s3.amazonaws.com/SRR12570829/Sangue_39_S3_L004_R1_001.fastq.gz.1,SRR12570829
s3://sra-pub-src-11/SRR12570829/Sangue_39_S3_L004_R2_001.fastq.gz.1,https://sra-pub-src-11.s3.amazonaws.com/SRR12570829/Sangue_39_S3_L004_R2_001.fastq.gz.1,SRR12570829
s3://sra-pub-src-11/SRR12570830/Sangue_39_S4_L001_R1_001.fastq.gz.1,https://sra-pub-src-11.s3.amazonaws.com/SRR12570830/Sangue_39_S4_L001_R1_001.fastq.gz.1,SRR12570830
s3://sra-pub-src-11/SRR12570830/Sangue_39_S4_L001_R2_001.fastq.gz.1,https://sra-pub-src-11.s3.amazonaws.com/SRR12570830/Sangue_39_S4_L001_R2_001.fastq.gz.1,SRR12570830
s3://sra-pub-src-10/SRR12570831/Sangue_39_S4_L002_R1_001.fastq.gz.1,https://sra-pub-src-10.s3.amazonaws.com/SRR12570831/Sangue_39_S4_L002_R1_001.fastq.gz.1,SRR12570831
s3://sra-pub-src-10/SRR12570831/Sangue_39_S4_L002_R2_001.fastq.gz.1,https://sra-pub-src-10.s3.amazonaws.com/SRR12570831/Sangue_39_S4_L002_R2_001.fastq.gz.1,SRR12570831
s3://sra-pub-src-12/SRR12570832/Sangue_39_S4_L003_R1_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570832/Sangue_39_S4_L003_R1_001.fastq.gz.1,SRR12570832
s3://sra-pub-src-12/SRR12570832/Sangue_39_S4_L003_R2_001.fastq.gz.1,https://sra-pub-src-12.s3.amazonaws.com/SRR12570832/Sangue_39_S4_L003_R2_001.fastq.gz.1,SRR12570832
s3://sra-pub-src-14/SRR12570833/Sangue_39_S4_L004_R1_001.fastq.gz.1,https://sra-pub-src-14.s3.amazonaws.com/SRR12570833/Sangue_39_S4_L004_R1_001.fastq.gz.1,SRR12570833
